Text,comprehend_sentiment,label
"Decent, but could be better.",MIXED,2
The customer service at this store is outstanding. They truly care about their customers.,POSITIVE,1
Does exactly what it says on the box.,POSITIVE,1
I'm disappointed with the ending of this TV show. It left too many unanswered questions.,NEGATIVE,0
Felt cheap and flimsy.,NEGATIVE,0
I can't get enough of this band. Their music is incredible!,POSITIVE,1
Felt cheap and flimsy.,NEGATIVE,0
Surprisingly good for the price!,POSITIVE,1
The food at this restaurant was awful. Never going back again!,NEGATIVE,0
I can't stop listening to this song. It's my new favorite!,POSITIVE,1
I’m blown away!,POSITIVE,1
The website layout is cluttered and confusing. Difficult to find information.,NEGATIVE,0
"Absolutely fantastic quality, I'm very impressed!",POSITIVE,1
The hotel staff were rude and unprofessional. Terrible customer service.,NEGATIVE,0
The website navigation is smooth and intuitive. I found what I needed quickly.,POSITIVE,1
I had a great chat with their customer support. Helpful and friendly.,POSITIVE,1
The roller coaster at this theme park is a thrilling experience. A must-try!,POSITIVE,1
My kids love it!,POSITIVE,1
This book is thought-provoking and beautifully written. Highly recommended!,POSITIVE,1
The customer support was quick to respond and resolved my issue. Impressed!,POSITIVE,1
"Decent, but could be better.",MIXED,2
I'm disappointed with the food at this restaurant. It was tasteless.,NEGATIVE,0
Waste of money. Avoid!,NEGATIVE,0
The concert was mind-blowing! The band knows how to put on a show.,POSITIVE,1
"Absolutely fantastic quality, I'm very impressed!",POSITIVE,1
I'm in awe of this artist's talent. Their paintings are breathtaking!,POSITIVE,1
My kids love it!,POSITIVE,1
The food at this restaurant was awful. Never going back again!,NEGATIVE,0
Great gift idea.,POSITIVE,1
No instructions were included.,NEGATIVE,0
The customer service at this store is exceptional. They went above and beyond.,POSITIVE,1
Amazing battery life.,POSITIVE,1
The product I received was damaged. Unacceptable.,NEGATIVE,0
The colors were completely off.,NEGATIVE,0
The customer service was terrible.,NEGATIVE,0
I can't stop listening to this song. It's my new favorite!,POSITIVE,1
I had a terrible experience with their delivery service. Late and unprofessional.,NEGATIVE,0
Love it! Great value and performance.,POSITIVE,1
Horrible return policy.,NEGATIVE,0
Saved me a lot of time and effort.,POSITIVE,1
The hotel stay was absolutely amazing! Luxury at its finest.,POSITIVE,1
The customer service was terrible.,NEGATIVE,0
Couldn’t be happier.,POSITIVE,1
The plot of this movie is confusing and hard to follow.,NEGATIVE,0
Horrible return policy.,NEGATIVE,0
I had an incredible experience at the theme park. So much fun!,POSITIVE,1
Super intuitive and easy to use.,POSITIVE,1
This playlist is perfect for relaxation. Soothing and calming!,POSITIVE,1
The product arrived damaged. Very disappointed.,NEGATIVE,0
I loved the movie! It was fantastic!,POSITIVE,1
Wouldn't recommend. Flawed design.,NEGATIVE,0
The website design is sleek and user-friendly. Easy to navigate.,POSITIVE,1
Fast delivery and solid build quality.,POSITIVE,1
Fast shipping and great support.,POSITIVE,1
Does exactly what it says on the box.,POSITIVE,1
It's perfect for daily use. Worth every penny.,POSITIVE,1
Just had the most amazing vacation! I can't wait to go back.,POSITIVE,1
Would not recommend to a friend.,NEGATIVE,0
Loved it! Would definitely buy again.,POSITIVE,1
Performance dropped after a few uses.,NEGATIVE,0
User interface is clean and simple.,POSITIVE,1
I'm captivated by this band's unique sound. They're a breath of fresh air!,POSITIVE,1
Very responsive team.,POSITIVE,1
The customer service at this store is top-notch.,POSITIVE,1
The roller coaster ride was thrilling! Heart-pounding excitement!,POSITIVE,1
Surprisingly good for the price!,POSITIVE,1
"Nothing special, just average.",NEGATIVE,0
The food at this restaurant was disappointing. Not worth the price.,NEGATIVE,0
The food at this restaurant was mediocre. Nothing special.,NEGATIVE,0
I can't stop listening to this song. It's incredible!,POSITIVE,1
This restaurant has the most delicious food. I can't wait to go back!,POSITIVE,1
No instructions were included.,NEGATIVE,0
